rank,coconut_id,smiles,xgboost_score,molecular_weight,logP,hbd,hba,rotatable_bonds,tpsa,lipinski_pass,veber_pass,num_aromatic_rings
4,CNP0492062.1,C[C@H](CC1=CC=CC=C1)[C@@]12C#C[C@@H]3C=C[C@H](C4=CC=C(O)C(O[C@@H]5C[C@H](CC6=CC=CN6)C6=CC=NC(N)=C6CSSC[C@H](CO)[C@H]5O)=C4)C[C@@H](O)[C@H]3[C@@H](O)[C@@H](CCC1)CC2,0.9648621678352356,864.19,8.19,7,10,9,165.08,False,False,4
7,CNP0107957.3,CCCCCCCCCCCCC[C@@H]1CC(=O)N[C@H]([C@@H](C)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC2=CC=C(O)C=C2)C(=O)N[C@@H](C(C)C)C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@H]([C@@H](C)O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N2CC[C@H](O)[C@H]2C(=O)N[C@@H]([C@H](O)CC(N)=O)C(=O)NCC(=O)N[C@H]([C@@H](C)O)C(=O)N[C@@H](CCCN)C(=O)O1,0.9610291123390198,1533.78,-5.47,20,24,25,588.87,False,False,1
8,CNP0107957.2,CCCCCCCCCCCCC[C@@H]1CC(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](C)C(=O)N[C@@H](CC2=CC=C(O)C=C2)C(=O)N[C@@H](C(C)C)C(=O)N2C[C@H](O)C[C@H]2C(=O)N[C@H]([C@H](C)O)C(=O)N[C@@H]([C@H](C)O)C(=O)N2CC[C@H](O)[C@H]2C(=O)N[C@@H]([C@H](O)CC(N)=O)C(=O)NCC(=O)N[C@H]([C@@H](C)O)C(=O)N[C@@H](CCCN)C(=O)O1,0.9610291123390198,1533.78,-5.47,20,24,25,588.87,False,False,1
9,CNP0594682.1,C[C@H]1CC[C@@H](O)[C@H]1NC(=O)[C@H](CC1=CC=CC=C1)C[C@H](O)CN1CCN(C(=O)C2=CN=C(N3CCN(C)CC3)C(Cl)=N2)C[C@H]1C(=O)NC(C)(C)C,0.9602739810943604,727.35,1.81,4,10,11,154.47,True,False,2
11,CNP0520463.1,COC1=CC2=C(C=C1O)CC1=CN=C(N)C=C1[C@@H](CC1=CC=CC(CCC3=CC=CC=C3)=C1)CC#CN/C(N)=N/C[C@@H]1C[C@@H](C3=CC=CC=C3)CN[C@@H]3C[C@]4(C[C@H]13)[C@@H](NC[C@H](C)O)C[C@@]1(C[C@@H]3[C@@H]5CCNC[C@@H]5C[C@@H]5C=CCN[C@@H]35)CC(CC[C@H]14)CC(=O)CC(=O)C=C2CO,0.9583451747894288,1284.74,9.73,10,15,13,241.5,False,False,5
12,CNP0504601.1,CNCC1=CC(O)=CC([C@@H](CC2=CC=C(O)C(OCNC[C@H](C)O)=C2)C(=O)C[C@@H](O)[C@H](CC2=CN=CC2)[C@H]2C=C[C@H](C3=CC=CC4=CC=CC=C34)C3=C2C=CC(O)=C3OC)=C1,0.9563862085342408,826.0,7.49,7,11,19,173.1,False,False,5
15,CNP0587456.1,C[C@H](CC1=CC=CC=C1)[C@H]1C#C[C@@H]2C=C[C@@H](C3=CC=C(O)C(O[C@@H]4C[C@H](CC5=CC=CN5)C5=CC=NC(N)=C5CSSC[C@H](CO)[C@H]4O)=C3)C[C@@H](O)[C@H]2[C@@H](O)CCCC1,0.954274594783783,838.15,7.8,7,10,9,165.08,False,False,4
19,CNP0148992.1,CCN[C@@H]1C=C2C=CCC[C@H]2C[C@H]1[C@H](CCCO)OC(=O)[C@]12O[C@@]1(C/C=C(\C)C[C@@H](NC(=N)NC)C1=CC=NC(NCNC)=C1)C(=O)C1=CC=CC(CC(C)(C)CC3=CC=C(N)N=C3)=C1C2=O,0.9514670968055724,916.18,6.13,8,13,21,229.0,False,False,3
20,CNP0456354.0,O=C(NC1=S=CC=N1)C1=CC=CC(CN2C(=O)N(CC3=CC=CC(C(=O)NC4=S=CC=N4)=C3)C(CC3=CC=CC=C3)C(O)C(O)C2CC2=CC=CC=C2)=C1,0.9503843188285828,758.93,3.94,4,7,10,146.93,True,False,4
21,CNP0501170.1,NC(=O)C[C@H]1C[C@@H](C2=CN[C@@](CC3=CC=CC=C3)(C[C@H](O)[C@H](CC3=CC=CC=C3)NC(=O)O[C@H]3CCOC3)C2=O)C2=CC=CC=C21,0.9488754868507384,623.75,4.05,4,7,12,139.98,True,False,3
24,CNP0422484.1,CNCC1=CC(O)=CC([C@@H](CC2=CC=C(O)C(OCNC[C@H](C)O)=C2)C(=O)C[C@@H](O)[C@H](CC2=CNC=C2)[C@H]2C=C[C@H](C3=CC=CC4=CC=CC=C34)C3=C2C=CC(O)=C3OC)=C1,0.9475756883621216,826.0,7.31,8,10,19,176.53,False,False,6
26,CNP0569798.1,C[C@@H]1CC=C[C@H](COC2=CC([C@@H]3CC(=O)[C@@H]([C@H](O)C[C@@H]4C=C[C@@H]5CCOC6=C(O)C=CC4=C65)[C@]4(CC[C@H](O)[C@H]4CC4=CC=CN4)C4=CC(=NC=C4)NC4=CC=C5C=C(O)C=C6C=C[C@@H](C3)C4=C65)=CC(O)=C2O)C1,0.9461407661437988,982.19,11.21,8,11,9,197.62,False,False,6
27,CNP0574782.1,COC1=CC2=C(C=C1O)CC1=CN=C(N)C=C1[C@@H](CC1=CC=CC(CCC3=CC=CC=C3)=C1)CC#CN/C(N)=N/C[C@H]1C[C@H](C3=CC=CC=C3)C=C[C@H]3C[C@]4(C[C@H]13)[C@@H](NC[C@H](C)O)C[C@@]1(C[C@@H]3[C@@H]5CCNC[C@@H]5C[C@@H]5C=CCN[C@@H]35)CC(CC[C@@H]14)CC(=O)CC(=O)C=C2CO,0.9461156725883484,1281.74,10.94,9,14,13,229.47,False,False,5
28,CNP0488163.1,C[C@H](O)CN[C@H]1CC[C@H](O)[C@@H]2[C@H](O)C[C@H](C3=CC=C(O)C(O[C@H]4C[C@@H](CC5=CC=CN5)C5=CC=NC(N)=C5CSSC[C@H](CO)[C@@H]4O)=C3)C=C[C@@H]2C#C[C@H]([C@H](C)CC2=CC=CC=C2)C1,0.9458875060081482,911.24,6.74,9,12,12,197.34,False,False,4
29,CNP0561401.1,C[C@H](CC1=CC=CC=C1)[C@H]1C#C[C@@H]2C=C[C@H](C3=CC=C(O)C(O[C@H](C[C@H](CC4=CC=CN4)C4=CC=NC(N)=C4)[C@H](O)CCO)=C3)C[C@@H](O)[C@H]2[C@@H](O)CCCC1,0.9451597929000854,747.98,6.67,7,8,14,165.08,False,False,4
31,CNP0047663.1,CCN[C@@H]1C=C2C=CCC[C@H]2C[C@H]1COC(=O)[C@]12O[C@@]1(C/C=C(\C)C1([C@@H](NC(=N)NC)C3=CC=NC(NCNC)=C3)CCCC1)C(=O)C1=CC=CC(CC(C)(C)CC3=CC=C(N)N=C3)=C1C2=O,0.9435712695121764,912.19,7.16,7,12,18,208.77,False,False,3
32,CNP0606834.1,CNCC1=CC(O)=CC([C@@H](CC2=CC=C(O)C(OC)=C2)C(=O)C[C@@H](O)[C@H](CC2=CN=CC2)[C@H]2C=C[C@@H](C3=CC=CC4=CC=CC=C34)C3=C2C=CC(O)=C3OC)=C1,0.942878484725952,752.91,8.19,5,9,15,140.84,False,False,5
33,CNP0600856.1,COC1=CC(CC[C@@H](O)[C@H]2C(=O)C[C@@H](C3=CC(O)=C(O)C(OC[C@@H]4C=CC[C@H](C)C4)=C3)C[C@@H]3C=CC4=CC(O)=CC5=CC=C(NC6=NC=CC(=C6)[C@@]26CC[C@@H](O)[C@@H]6CC2=CC=CN2)C3=C45)=CC=C1O,0.942533314228058,932.13,10.24,8,11,11,197.62,False,False,6
34,CNP0504611.1,N[C@@H](O)O[C@@H]1CC2=CC=CC=C2[C@@H]1[C@@H]1CN[C@@](CC2=CC=CC=C2)(C[C@H](O)[C@H](CC2=CC=CC=C2)NC(=O)O[C@H]2CCOC2)C1=O,0.9422101378440856,629.75,2.59,5,9,12,152.37,True,False,3
38,CNP0509929.1,C[C@H](CC1=CC=CC=C1)[C@H]1C#C[C@@H]2C=C[C@H](C3=CC=C(O)C(O[C@H](C[C@H](CC4=CCC=N4)C4=CC=NC(N)=C4)[C@H](O)CCO)=C3)C[C@@H](O)[C@H]2[C@@H](O)CCCC1,0.942021667957306,747.98,6.85,6,9,14,161.65,False,False,3
39,CNP0212310.1,CNCC1=CC(O)=CC([C@@H](CC2=CC=C(O)C(OC)=C2)C(=O)C[C@@H](O)[C@H](CC2=CNC=C2)CC2=CC=C(O)C(OC3CCCC3)=C2)=C1,0.941770613193512,642.79,5.93,6,8,16,144.27,False,False,4
40,CNP0232804.1,CNCC1=CC(O)=CC([C@@H](CC2=CC=C(O)C(OC)=C2)C(=O)C[C@@H](O)[C@H](CC2=CNC=C2)CC2=CC=C(O)C(OC3CCCCC3)=C2)=C1,0.941770613193512,656.82,6.32,6,8,16,144.27,False,False,4
41,CNP0522510.1,COCCC1=CC=C(C[C@H]2CC[C@@]3(CC[C@H]4CC5=C6C[C@]78C=C9C(=C%10C=CC=CC%10=C[C@@H]9C59CC[C@H](O)[C@@](C)(CC=C7CC(C)C)[C@@H]98)CC5=CC=CC(=C5)C5=CC=C(N=C5)NCCC[C@@H](C5CCCCC5)/C(=C\O)CC[C@@H](C(=O)O)[C@H]5[C@H](O)CC63[C@]45C)CC2)C=C1,0.9413948059082032,1225.75,16.44,5,7,9,132.14,False,True,4
42,CNP0532266.1,C[C@H](O)CN[C@@H]1C[C@]2(C[C@@H]3[C@H]4CCNC[C@H]4C[C@@H]4C=CCN[C@@H]34)C[C@@H](CC(=O)CC(=O)/C=C(\CO)C3=CC(OCO)=C(O)C=C3CC3=CN=C(N)C=C3CCC3=CC=CC(CCC4=CC=CC=C4)=C3)CC[C@@H]2[C@@]12CC[C@@H]([C@H](CCC1=CC=CC=C1)CN=C(N)N)C2,0.9408103823661804,1237.68,9.39,10,13,28,263.69,False,False,5
43,CNP0482057.1,CCC1=CC=C2C=CC=CC2=C1[C@H]1C=C[C@@H]([C@H](CC2=CN=CC2)[C@H](O)CC(=O)[C@H](CC2=CC=C(O)C(OCNC[C@H](C)O)=C2)C2=CC(O)=CC(CNC)=C2)C2=CC=C(O)C(OC)=C21,0.9404546618461608,854.06,8.05,7,11,20,173.1,False,False,5
47,CNP0196483.1,CC#CC1=CC=C(C2=CC=C(C(=O)[C@H]3CC[C@]45C=C[C@@H]6[C@H]7[C@@H]8C#CC9=C(C=C(O)C%10=C9N[C@H](C=C%10)[C@@](C)(O)CC9=C%10C(=CC=C9)[C@@H]8[C@@H](C[C@H]%10C8=CN=CN8)[C@H](CC8=CC=CC=C8)CSSC[C@]8(CO)[C@H](CNC)CC[C@]78C[C@]36C4)C[C@H]5NC(=N)NC)S2)S1,0.9403618574142456,1246.75,12.67,9,12,10,178.41,False,False,6
48,CNP0542663.1,CNC[C@H]1C[C@@H](C2=CC(O)=C(O)C(OCC(C)C)=C2)CC(=O)[C@H]([C@H](O)CCC2=CC=C(O)C(OC)=C2)[C@@]2(CC[C@H](O)[C@@H]2CC2=CC=CN2)C2=CC=NC(=C2)NC2=CC=C3C=C(O)C=CC3=C21,0.939943253993988,899.1,8.48,9,12,13,209.65,False,False,6
49,CNP0591605.1,C=C1CC[C@@H](C(=O)O)[C@H]2[C@H](O)CC34C5=C(C[C@H](CC[C@]36CC[C@@H](CC3=CC=C(CCOC)C=C3)CC6)[C@]24C)C23CC[C@H](O)[C@@]4(C)CC=C(CC(C)C)[C@@](C=C6C(=C7C=CC=CC7=C[C@@H]62)CC2=CC(=CC=C2)C2=CC=C(N=C2)NCCC[C@H]1C1CCCCC1)(C5)[C@H]34,0.9397525191307068,1209.75,16.55,4,6,9,111.91,False,True,4
50,CNP0008468.1,CCN[C@@H]1C=C2C=CCC[C@H]2C[C@H]1COC(=O)[C@]12O[C@@]1(C/C=C(\C)C[C@@H](NC(=N)NC)C1=CC=NC(NCNC)=C1)C(=O)C1=CC=CC(CC(C)(C)CC3=CC=C(N)N=C3)=C1C2=O,0.9394678473472596,858.1,5.99,7,12,18,208.77,False,False,3
51,CNP0577126.1,CNC[C@@H]1C[C@@]23C[C@@H]1CC/N=C(\N)NC#CC[C@H](CC1=CC=CC(CCC4=CC=CC=C4)=C1)C1=CC(N)=NC=C1CC1=CC(O)=C(OCO)C=C1C(CO)=CC(=O)CC(=O)C[C@H]1CC[C@@H]2[C@](C[C@@H]2[C@@H]4CCNC[C@@H]4C[C@@H]4C=CCN[C@@H]24)(C1)C[C@H]3NC[C@H](C)O,0.9393132328987122,1212.63,7.51,11,16,15,261.73,False,False,4
52,CNP0330134.1,CNC(=N)NC[C@@H]1C[C@H]([C@H](O)C[C@@H](CCC2=CC=C(O)C(O[C@@H]3CCN[C@H](CC4=CC=CC=C4)C3)=C2)OC(C)=O)CC[C@H]1C,0.93930584192276,608.82,4.55,6,7,13,135.93,False,False,2
53,CNP0507137.1,CNC[C@@H]1C[C@@H](C2=CC(O)=C(O)C(OCCCC(C)C)=C2)CC(=O)[C@@H]([C@H](O)CCC2=CC=C(O)C(OC)=C2)[C@@]2(CC[C@H](O)[C@@H]2CC2=CC=CN2)C2=CC=NC(=C2)NC2=CC=C3C=C(O)C=CC3=C21,0.9388884902000428,927.15,9.26,9,12,15,209.65,False,False,6
54,CNP0503276.1,C[C@H](O)CN[C@@H]1C[C@@]2(C[C@@H]3[C@@H]4CCNC[C@@H]4C[C@@H]4C=CCN[C@@H]34)C[C@@H]3CC[C@H]2[C@]12CC[C@H](C2)[C@H](CCC1=CC=CC=C1)C/N=C(\N)NC#CC[C@@H](CC1=CC=CC(CCC2=CC=CC=C2)=C1)C1=CC(N)=NC=C1CC1=CC(O)=C(OCO)C=C1C(CO)=CC(=O)CC(=O)C3,0.9388715624809264,1273.72,9.92,10,15,16,249.7,False,False,5
55,CNP0206567.1,CCN[C@@H]1C=C2C=CC[C@@H]3CCCC[C@](C)(CC4=CC=C(N)N=C4)CC4=CC=CC5=C4C(=O)[C@]4(O[C@@]4(C/C=C(\C)C[C@]4(C6=CC=NC(NCNC)=C6)CCCN=C(NC)N4)C5=O)C(=O)OC[C@@H]1C[C@H]23,0.9388527274131776,938.23,7.14,6,14,12,197.28,False,False,3
59,CNP0483724.1,C[C@H](O)CN[C@@H]1CC[C@H](O)[C@@H]2[C@H](O)C[C@@H](C3=CC=C(O)C(O[C@H]4C[C@@H](CC5=CC=CN5)C5=CC=NC(N)=C5CSSC[C@H](CO)[C@@H]4O)=C3)C=C[C@@H]2C#C[C@H](CCO)C1,0.9378038644790648,837.12,4.25,10,13,11,217.57,False,False,3
60,CNP0008442.1,CCN[C@@H]1C=C2C=CCC[C@H]2C[C@H]1COC(=O)[C@]12O[C@@]1(C/C(CO)=C(\C)CC1(C3=CC=NC(NCNC)=C3)CCCCC1)C(=O)C1=CC=CC(CC(C)C)=C1C2=O,0.9376019835472108,779.03,7.18,4,10,16,142.18,False,False,2
62,CNP0544832.1,CCCCC[C@H]1C[C@H](O)CCC2=CC(=C(O)C=C2)OCC2=CC([C@H](CC(=O)N3CCC34CCCCC4)C3=CC=CC=C3)=CC3=CN(C=C23)C2=NC(N)=CC=C2CO1,0.9373177886009216,771.02,9.51,3,8,8,123.07,False,True,5
64,CNP0532645.1,CC[C@]1(O)C[C@@H]2CN(CCC3=C(NC4=CC=CC=C34)[C@@](C(=O)OC)(C3=CC4=C(C=C3OC)N(C)[C@@H]3[C@]45CCN4CC=C[C@@](CC)(C[C@@]36OC(=O)N(CCCl)C6=O)[C@H]45)C2)C1,0.936578333377838,826.43,5.5,2,10,7,127.88,False,True,3
65,CNP0332696.1,CCN[C@@H]1C=C2C=CCC[C@H]2C[C@H]1COC(=O)[C@]12O[C@@]1(C/C=C(\C)C[C@]1(C3=CC=NC(NCNC)=C3)CCCN=C(NC)N1)C(=O)C1=CC=CC(CC(C)C)=C1C2=O,0.9364501237869264,792.04,5.77,5,12,15,158.37,False,False,2
66,CNP0598025.1,CNCC1=CC(O)=CC([C@@H](CC2=CC=C(O)C(OC)=C2)C(=O)C[C@@H](O)[C@H](CC2=CN=CC2)CC2=CC=C(O)C(OC3CCCC3)=C2)=C1,0.936381697654724,642.79,6.11,5,9,16,140.84,False,False,3
67,CNP0606538.1,CNCC1=CC(O)=CC([C@@H](CC2=CC=C(O)C(OC)=C2)C(=O)C[C@@H](O)[C@H](CC2=CN=CC2)CC2=CC=C(O)C(OC3CCCCC3)=C2)=C1,0.936381697654724,656.82,6.5,5,9,16,140.84,False,False,3
68,CNP0057512.1,CC[C@@H](C)C=C(C)C=C[C@H](O)[C@](C)(O)C(=O)NCC(=O)N[C@@](C)(C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H]1C(=O)N[C@H](COC)C(=O)NCC(=O)N[C@@H](C)C(=O)N(C)[C@@H]([C@H](C)O)C(=O)N[C@H]([C@H](OC)C2=CC=C(O)C=C2)C(=O)N2CC[C@H](Cl)C[C@H]2C(=O)O[C@H]1C(C)C)[C@H](C)C(C)(C)C(N)=O)[C@H](C)N)[C@H](C)O,0.9358564019203186,1479.13,-3.31,16,22,27,517.54,False,False,1
69,CNP0057512.2,CC[C@@H](C)/C=C(C)\C=C/[C@H](O)[C@](C)(O)C(=O)NCC(=O)N[C@@](C)(C(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H]1C(=O)N[C@H](COC)C(=O)NCC(=O)N[C@@H](C)C(=O)N(C)[C@@H]([C@H](C)O)C(=O)N[C@H]([C@H](OC)C2=CC=C(O)C=C2)C(=O)N2CC[C@H](Cl)C[C@H]2C(=O)O[C@H]1C(C)C)[C@H](C)C(C)(C)C(N)=O)[C@H](C)N)[C@H](C)O,0.9358564019203186,1479.13,-3.31,16,22,27,517.54,False,False,1
70,CNP0077172.1,CC(=O)N[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](O)CN(CC1CCCCC1)NC(=O)[C@@H](NC(C)=O)C(C)C)C(C)C,0.9355331659317015,573.78,2.31,5,6,15,139.87,True,False,1
74,CNP0554564.1,CNC[C@@H]1C[C@@H](C2=CC(O)=C(O)C(OC[C@H]3C=CC[C@@H](C)C3)=C2)CC(=O)[C@@H]([C@H](O)CCC2=CC=C(O)C(OC)=C2)[C@@]2(CC[C@H](O)[C@@H]2CC2=CC=CN2)C2=CC=NC(=C2)NC2=CC=C3C=C(O)C=CC3=C21,0.9354107975959778,951.17,9.43,9,12,13,209.65,False,False,6
75,CNP0174962.0,CCC12C=CCN3CCC4(C5=CC(C6(C(=O)OC)CC7CN(CCC8=C6NC6=CC=CC=C86)CC6(CC)OC76)=C(OC)C=C5N(C)C4C(O)(C(=O)OC)C1)C32,0.9352133870124816,750.94,4.47,2,10,6,120.1,True,True,3
76,CNP0418249.1,C[C@@H]1[C@@H]2CCC[C@H]2C=C[C@]12CCC[C@]13O[C@]45C(=C[C@@H]21)C[C@H]1CCC[C@]12C[C@@H]1C[C@@]6(C)[C@H](C7=C(C[C@@H]([C@@H]8CC[C@H]9[C@H](C=CN%10CNC[C@@H]9%10)C8)[C@H](O)CO)OC=C7)OC(=O)[C@H]7O[C@]76[C@]6([C@H]7CCC[C@H](CC8=CC=CC=C8)C7)[C@H](O)C(=O)[C@H]3[C@@]4(COC(=O)[C@@H]25)[C@@H]16,0.9347321391105652,1185.55,10.17,4,13,9,180.53,False,False,2
77,CNP0100465.1,C[C@@H]1[C@H]2CCCC[C@H]2C=C[C@]12CCC[C@]13O[C@]45C(=C[C@@H]21)C[C@H]1CCC[C@]12C[C@@H]1C[C@@]6(C)[C@H](C7=C(C[C@@H]([C@@H]8CC[C@H]9[C@H](C=CN%10CNC[C@H]9%10)C8)[C@H](O)CO)OC=C7)OC(=O)[C@H]7O[C@]76[C@]6([C@H]7CCC[C@H](CC8=CC=CC=C8)C7)[C@H](O)C(=O)[C@H]3[C@@]4(COC(=O)[C@H]25)[C@@H]16,0.9347321391105652,1199.58,10.56,4,13,9,180.53,False,False,2
78,CNP0508069.1,NC1=CC([C@@H](CC2=CC=CN2)C[C@H](OC2=CC([C@H]3C=C[C@H]4C#C[C@@H](CCO)CCCC[C@H](O)[C@@H]4[C@H](O)C3)=CC=C2O)[C@H](O)CCO)=CC=N1,0.9345920085906982,673.85,4.18,8,9,13,185.31,False,False,3
79,CNP0212143.1,CCN[C@H]1C=C2C=CC[C@@H]3CCCC[C@](C)(CC4=CC=C(N)N=C4)CC4=CC=CC5=C4C(=O)[C@]4(O[C@@]4(C/C=C(\C)C[C@]4(C6=CC=NC(NCNC)=C6)CCCN=C(NC)N4)C5=O)C(=O)O[C@H](CCCO)[C@H]1C[C@H]23,0.9345125555992126,996.31,7.28,7,15,15,217.51,False,False,3
80,CNP0273855.1,CNCNC1=CC([C@H](C/C(C)=C/C[C@@]23O[C@]2(C(=O)OC[C@@H]2C[C@@H]4CCC=CC4=C[C@@H]2NCC2CCCCC2)C(=O)C2=C(CC(C)(C)CC4=CC=C(N)N=C4)C=CC=C2C3=O)NC(=N)NC)=CC=N1,0.9342341423034668,926.22,7.55,7,12,19,208.77,False,False,3
81,CNP0571065.1,CNC[C@@H]1C[C@@]23C[C@@H]1CC/N=C(\N)NC#CC[C@H](CC1=CC=CC(CCC4=CC=CC=C4)=C1)C1=CC(N)=NC=C1CC1=CC(O)=C(OC)C=C1C(CO)=CC(=O)CC(=O)C[C@H]1CC[C@@H]2[C@](C[C@H]2[C@@H]4CCNC[C@@H]4C[C@@H]4C=CCN[C@@H]24)(C1)C[C@H]3NC[C@H](C)O,0.9340196847915648,1196.64,8.19,10,15,14,241.5,False,False,4
82,CNP0139445.1,C[C@@]12C[C@H]3C[C@@]45CCC[C@@H]4CC4=C[C@H]6[C@]7(CC[C@@H]8C=CC[C@H]9[C@@H]%10CCCC[C@@H]%10C=C[C@@]896)O[C@]46[C@H]5C(=O)OC[C@@]64[C@@H]7C(=O)[C@@H](O)[C@]([C@H]5CCC[C@H](CC6=CC=CC=C6)C5)([C@H]34)[C@]13O[C@@H]3C(=O)O[C@H]2C1=C(C[C@@H]([C@H]2CC[C@H]3[C@H](C=CN4CNC[C@H]34)C2)[C@H](O)CO)OC=C1,0.9339922070503236,1223.6,10.72,4,13,9,180.53,False,False,2
83,CNP0009306.1,CCN[C@@H]1C=C2C=CCC[C@H]2C[C@H]1COC(=O)[C@]12O[C@@]1(C/C=C(\C)C[C@@H](NC(=N)NC)C1=CC=NC3=C1CC[C@H](NC)N3)C(=O)C1=CC=CC(CC(C)(C)CC3=CC=C(N)N=C3)=C1C2=O,0.9339810609817504,884.14,6.31,7,12,16,208.77,False,False,3
84,CNP0548970.1,COC1=CC2=C(C=C1O)CC1=CN=C(N)C=C1[C@H](CC1=CC=CC(CCC3=CC=CC=C3)=C1)CC#CN/C(N)=N/C[C@@H](CCC1=CC=CC=C1)[C@@H]1CC[C@]3(C1)[C@@H](NC[C@H](C)O)C[C@@]1(C[C@@H]4[C@H]5CCNC[C@H]5C[C@@H]5C=CCN[C@@H]45)C[C@H](CC[C@H]13)CC(=O)CC(=O)C=C2CO,0.933542251586914,1257.72,10.6,9,14,15,229.47,False,False,5
85,CNP0131492.1,CNCNC1=CC([C@@]2(C/C(C)=C/C[C@@]34O[C@@]35C(=O)OC[C@@H]3C[C@H]6C(=C[C@H]3NCC3CCCCC3)C=CC[C@@H]6CCCC[C@@](C)(CC3=CC=C(N)N=C3)CC3=C(C5=O)C(=CC=C3)C4=O)CCCN=C(NC)N2)=CC=N1,0.9334959983825684,1006.35,8.7,6,14,13,197.28,False,False,3
86,CNP0567762.1,C[C@H](O)CN[C@@H]1C[C@]2(C[C@@H]3[C@@H]4CCNC[C@@H]4C[C@@H]4C=CCN[C@@H]34)C[C@@H]3CC[C@@H]2[C@]12CC[C@@H](CC/N=C(\N)NC#CC[C@H](CC1=CC=CC(CCC4=CC=CC=C4)=C1)C1=CC(N)=NC=C1CC1=CC(O)=C(OCO)C=C1C(CO)=CC(=O)CC(=O)C3)C2,0.9333829283714294,1169.57,8.07,10,15,13,249.7,False,False,4
87,CNP0545090.1,CCN[C@H]1C=C2C=CC[C@H]3[C@@H]4CCC[C@](C)(CC5=CC=C(N)N=C5)CC5=C6C(=O)[C@]7(O[C@@]7(C/C=C(\C)C[C@]7(C8=CC=NC(NCNC)=C8)CCCN=C(NC)N7)C(=O)C6=CC=C5)C(=O)OC[C@H]1[C@H](CC4)[C@H]23,0.9332491755485536,964.27,7.39,6,14,12,197.28,False,False,3
88,CNP0528084.1,CNC[C@@H]1C[C@@H](C2=CC(O)=C(O)C(OC)=C2)CC(=O)[C@@H]([C@H](O)CCC2=CC=C(O)C(OC)=C2)[C@@]2(CC[C@H](O)[C@@H]2CC2=CC=CN2)C2=CC=NC(=C2)NC2=CC=C3C=C(O)C=CC3=C21,0.9329450130462646,857.02,7.46,9,12,11,209.65,False,False,6
89,CNP0145229.1,CCC(CC)C(=O)NC[C@H]1O[C@H](CC2=NOC(C(C)(C)C)=C2)CC[C@@H]1O,0.9328875541687012,366.5,2.98,2,5,7,84.59,True,True,1
93,CNP0593185.1,COC1=CC(CC[C@@H](O)[C@@H]2C(=O)C[C@@H](C3=CC(O)=C(O)C(OC)=C3)C[C@@H]3C=CC4=CC(O)=CC5=CC=C(NC6=NC=CC(=C6)[C@@]26CC[C@@H](O)[C@H]6CC2=CC=CN2)C3=C45)=CC=C1O,0.9317622184753418,837.97,8.26,8,11,9,197.62,False,False,6
94,CNP0512168.1,CNC[C@]12C=CC3=CC(O)=CC4=CC=C(NC5=NC=CC(=C5)[C@]5(CC[C@@H](O)[C@H]5CC5=CC=CN5)[C@@H]([C@H](O)CCC5=CC=C(O)C(OC)=C5)C(=O)C[C@H](C5=CC(O)=C(O)C(OC[C@@H]6C=CC[C@H](C)C6)=C5)C1)C2=C34,0.9315549731254578,975.2,9.61,9,12,13,209.65,False,False,6
96,CNP0511783.1,COC1=CC2=C(C=C1O)CC1=CN=C(N)C=C1[C@H](CC1=CC=CC(CCC3=CC=CC=C3)=C1)CC#CN/C(N)=N/CC[C@@H]1CC[C@]3(C1)[C@H](NC[C@H](O)C1CCCCC1)C[C@]1(C[C@H]4[C@H]5CCNC[C@H]5C[C@@H]5C=CCN[C@@H]45)C[C@@H](CC[C@@H]13)CC(=O)CC(=O)C=C2CO,0.9313944578170776,1221.69,10.31,9,14,13,229.47,False,False,4
97,CNP0287589.1,CCC1=CC=C2C=CC=CC2=C1[C@H]1C=C[C@@H]([C@H](CC2=CNC=C2)[C@H](O)CC(=O)[C@H](CC2=CC=C(O)C(OCNC[C@H](C)O)=C2)C2=CC(O)=CC(CNC)=C2)C2=CC=C(O)C(OC)=C21,0.93097585439682,854.06,7.87,8,10,20,176.53,False,False,6
98,CNP0102119.1,CNCC1=CC(O)=CC([C@@H](CC2=CC=C(O)C(OC)=C2)C(=O)C[C@@H](O)[C@H](CC2=CNC=C2)[C@H]2C=C[C@@H](C3=CC=CC4=CC=CC=C34)C3=C2C=CC(O)=C3OC)=C1,0.9303407669067384,752.91,8.01,6,8,15,144.27,False,False,6
99,CNP0503188.1,COC1=CC(CC[C@@H](O)[C@H](C(=O)CCC2=CC(O)=C(O)C(OC)=C2)[C@]2(C3=CC=NC(N)=C3)CC[C@H](O)[C@@H]2CC2=CC=CN2)=CC=C1O,0.93018901348114,645.75,4.19,7,10,14,191.38,False,False,4
